CompetitionID,Arme,Sexe,Domaine,Federation,Categorie,Date,TitreCourt,TitreLong,CompetitionType,FileName
95,E,M,,SVK,C,13.02.2010,Bratislava FMC,Bratislava FMC,Individual,1.xml
741,F,M,I,GER,S,16.07.2010,,Championnats d'Europe,Individual,10.xml
182,S,M,I,BEL,S,23.10.2010,FO-2010-SH,Tournoi satellite sabre masculin,Individual,100.xml
42,S,F,,HUN,C,04.10.2014,SFC-eq,Cadet Circuit - Women's Saber Team,Team,1001.xml
40,S,F,I,HUN,C,04.10.2014,SFC-in,Cadet Circuit,Individual,1002.xml
43,S,M,,HUN,C,04.10.2014,SMC-eq,Cadet Circuit - Men's Saber Team,Team,1003.xml
2054,E,M,N,HUN,S,05.10.2014,EMS_05-in,Iron Trade Kupa Felnott Ferfi Parbajtor Valogato es U23 Korverseny,Individual,1004.xml
2056,E,F,N,HUN,S,05.10.2014,EFS-in,Iron Trade Kupa Felnott Noi Parbajtor Valogato es U23 Korverseny,Individual,1005.xml
14,F,M,I,,C,04.10.2014,,Manchester Cadet,Individual,1006.xml
23,E,F,,SUI,C,11.10.2014,EFC-LoL,Cadet Circuit,Individual,1007.xml
36,F,F,,SVK,C,18.10.2014,Coupe de Samaria 2014,Coupe de Samaria 2014,Individual,1008.xml
2,F,F,I,slovak,B,19.10.2014,Coupe de Samaria 2014-teams,Coupe de Samaria 2014 - teams,Team,1009.xml
391,F,M,I,GBR,S,05.12.2010,Leon Paul Cup,Leon Paul Cup,Individual,101.xml
48,F,M,,GRE,C,18.10.2014,FMC-in,Florina Cadet Circuit 2014,Individual,1011.xml
208,S,F,I,FFE,C,18.10.2014,Eurosabre 2014 SD,,Individual,1012.xml
124,S,M,I,FFE,C,18.10.2014,Eurosabre 2014 SH,,Individual,1013.xml
21,S,M,I,FFE,C,19.10.2014,Eurosabre 2014 SH Equipe,,Team,1018.xml
72,F,F,,FRA,C,11.12.2010,FDC_Ind,European Cadet Circuit,Individual,102.xml
495,E,F,,AUT,C,25.10.2014,EFC-in,Cadet Circuit Women Epee,Individual,1020.xml
494,E,M,,AUT,C,25.10.2014,EMC-in,Cadet Circuit Men Epee,Individual,1021.xml
2,E,F,I,AUT,C,25.10.2014,Klagenfurt EFC_Eq,Women Epee Cadet Team,Team,1022.xml
35,E,M,I,AUT,C,25.10.2014,Klagenfurt EMC_Eq,Men Epee Cadet Team,Team,1024.xml
234,E,M,I,FFE,S,02.11.2014,u-23-ehs,u-23-ehs,Individual,1026.xml
231,E,F,I,FFE,S,02.11.2014,u23-eds,u23-eds,Individual,1027.xml
76,S,F,Z,GER,C,11.12.2010,European Cadet Circuit,European Cadet Circuit,Individual,103.xml
63,S,M,,BUL,C,08.11.2014,SMC-in,Cadet Circuit,Individual,1033.xml
538,F,M,,AUT,C,08.11.2014,FMC-in,ECC 2014 men's foil,Individual,1039.xml
539,F,F,,AUT,C,09.11.2014,FFC-in,ECC 2014 women's foil,Individual,1044.xml
3,S,F,I,FFE,C,19.10.2014,EUROSABRE 2014 SD Equipe,,Team,1046.xml
62,S,F,,BUL,C,08.11.2014,SFC-in,Cadet Circuit,Individual,1047.xml
65,S,M,,BUL,C,08.11.2014,SMC-eq,Cadet Circuit,Team,1048.xml
77,S,M,Z,GER,C,11.12.2010,European Cadet Circuit,European Cadet Circuit,Individual,105.xml
64,S,F,,BUL,C,08.11.2014,SFC-eq,Cadet Circuit,Team,1052.xml
34,E,M,I,GER,C,15.11.2014,Cadet Circuit,Cadet Circuit,Individual,1053.xml
32,E,F,Z,GER,C,15.11.2014,Cadet Circuit,Cadet Circuit,Individual,1054.xml
54,E,F,,FRA,C,22.11.2014,EFC-in,Cadet Circuit,Individual,1055.xml
73,F,M,,FRA,C,12.12.2010,FHC,European Cadet Circuit,Individual,106.xml
55,E,F,,FRA,C,22.11.2014,EFC-eq,Cadet Circuit,Team,1063.xml
66,S,F,,RUS,C,22.11.2014,SFC-in,Cadet Circuit,Individual,1064.xml
67,S,M,,RUS,C,22.11.2014,SMC-in,Cadet Circuit,Individual,1065.xml
217,E,M,I,FFE,C,29.11.2014,141129_ce_ehc,8 eme Coupe Europeenne Epee Homme Cadet,Individual,1066.xml
503,S,F,,POL,B,29.11.2014,U23 European Circuit,U23 European Circuit,Individual,1069.xml
502,S,M,,POL,B,29.11.2014,U23 European Circuit,U23 European Circuit,Individual,1070.xml
35,E,M,,GER,C,16.11.2014,Tank und Rast 2014,Tank und Rast 2014,Team,1071.xml
38,F,M,Z,GER,C,29.11.2014,Cadet Circuit,Cadet Circuit,Individual,1072.xml
46,F,F,,GER,C,29.11.2014,spc2014,Sparkassen-Cup 2014,Individual,1073.xml
80,E,F,,ITA,C,14.01.2011,EFC-in,Spf,Individual,108.xml
536,F,M,Z,GER,C,24.11.2013,Cadet Circuit,Cadet Circuit,Team,1080.xml
507,E,M,,AUT,S,06.12.2014,EMU-in,U23 EC EM,Individual,1081.xml
532,F,F,,AUT,S,06.12.2014,FFU-in,U23 EC WF,Individual,1082.xml
185,F,M,I,FFE,C,04.12.2014,FHC_12CM,FLEURET HOMMES CADETS_12CM,Individual,1083.xml
